NUM_PASAJEROS;ANIO;MES;DIA;ZONA_FNC_GROUP_2;EsEscolar;EsFestivo
94798;2018;1;22;CPI-CABILDO;1;0
2877;2018;1;22;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
29977;2018;1;22;ENCOMIENDA USC-AYTO.SC;1;0
437;2018;1;22;CONVENIOS CABILDO-AYTOS.;1;0
2785;2018;1;23;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
29135;2018;1;23;ENCOMIENDA USC-AYTO.SC;1;0
588;2018;1;23;CONVENIOS CABILDO-AYTOS.;1;0
93716;2018;1;23;CPI-CABILDO;1;0
29080;2018;1;24;ENCOMIENDA USC-AYTO.SC;1;0
2815;2018;1;24;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
94656;2018;1;24;CPI-CABILDO;1;0
622;2018;1;24;CONVENIOS CABILDO-AYTOS.;1;0
3001;2018;1;25;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
97429;2018;1;25;CPI-CABILDO;1;0
635;2018;1;25;CONVENIOS CABILDO-AYTOS.;1;0
30625;2018;1;25;ENCOMIENDA USC-AYTO.SC;1;0
96616;2018;1;26;CPI-CABILDO;1;0
2707;2018;1;26;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
28511;2018;1;26;ENCOMIENDA USC-AYTO.SC;1;0
654;2018;1;26;CONVENIOS CABILDO-AYTOS.;1;0
631;2018;1;27;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
158;2018;1;27;CONVENIOS CABILDO-AYTOS.;1;0
13615;2018;1;27;ENCOMIENDA USC-AYTO.SC;1;0
63460;2018;1;27;CPI-CABILDO;1;0
8783;2018;1;28;ENCOMIENDA USC-AYTO.SC;1;0
87;2018;1;28;CONVENIOS CABILDO-AYTOS.;1;0
47210;2018;1;28;CPI-CABILDO;1;0
404;2018;1;28;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
24621;2018;1;29;ENCOMIENDA USC-AYTO.SC;1;0
534;2018;1;29;CONVENIOS CABILDO-AYTOS.;1;0
83466;2018;1;29;CPI-CABILDO;1;0
2327;2018;1;29;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
593;2018;1;30;CONVENIOS CABILDO-AYTOS.;1;0
26549;2018;1;30;ENCOMIENDA USC-AYTO.SC;1;0
89633;2018;1;30;CPI-CABILDO;1;0
2532;2018;1;30;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
27101;2018;1;31;ENCOMIENDA USC-AYTO.SC;1;0
89624;2018;1;31;CPI-CABILDO;1;0
2621;2018;1;31;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
532;2018;1;31;CONVENIOS CABILDO-AYTOS.;1;0
28527;2018;2;1;ENCOMIENDA USC-AYTO.SC;1;0
95443;2018;2;1;CPI-CABILDO;1;0
2768;2018;2;1;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
605;2018;2;1;CONVENIOS CABILDO-AYTOS.;1;0
8434;2018;2;2;ENCOMIENDA USC-AYTO.SC;1;1
393;2018;2;2;ENCOMIENDA LAGUNA -AYTO.LAG;1;1
